stratum,n,events,prev,AUC,AUC_lo,AUC_hi,OE,OE_lo,OE_hi,slope,slope_lo,slope_hi,NB,NB_lo,NB_hi,NB_all
DDI I-II,201,42,0.208955223880597,0.6171009284216832,0.5147862017774589,0.7106187650078585,1.1725241758289566,0.8584477958421931,1.4865882340673595,,,,0.0983969043670536,0.04531509121061359,0.15201768933112214,0.12106135986732999
DDI III-VI,407,81,0.19901719901719903,0.6953343936984019,0.6270189384986672,0.7621148279594251,0.9850178752715131,0.8092379626371782,1.1754321820163636,0.6268720319209254,0.43197839509362407,0.868519351008749,0.10756210756210757,0.06851624351624351,0.14524297024297023,0.11001911001911002
DDI III-IV,232,65,0.2801724137931034,0.7228926761860893,0.6469442675450772,0.7911615414941849,1.428100835244423,1.1650735267450716,1.7252594677835047,0.7714940277453781,0.5152924556631716,1.1126531374420943,0.18295019157088122,0.12643678160919541,0.24664750957854406,0.20019157088122602
DDI V-VI,175,16,0.09142857142857143,0.6898584905660378,0.5368146041025106,0.8378240864527627,0.43576524870378053,0.24402743527623286,0.6507326851629859,,,,0.0076190476190476225,-0.03238095238095239,0.05650793650793651,-0.009523809523809532
PAD I-III,1281,1055,0.8235753317720531,0.6172880929413245,0.5783118340478407,0.6580300873904052,1.7270992469517275,1.671280633456199,1.790501982457973,0.3767123998627563,0.26167503361368977,0.5026515278630374,0.7824616185271923,0.7580861306271142,0.8054493017607772,0.8039725908578368
PAD IV-VI,61,34,0.5573770491803278,0.8159041394335512,0.7,0.9111147186147186,1.4799554898319758,1.2021080618374183,1.7866261045602123,,,,0.48816029143898,0.35332422586520945,0.6175318761384333,0.5081967213114753
F17k I-III,11063,1651,0.1492361927144536,0.5714459008603525,0.556140510844715,0.5861950188380166,0.6936417798381835,0.6631034824060607,0.7247761198386043,0.2788295550710563,0.21563569998862128,0.34238045085050667,0.051402573141703586,0.04468272620446534,0.05845385519298562,0.05470688079383733
F17k IV-VI,4949,509,0.10284906041624571,0.5741433476698703,0.5476531907373552,0.6001704406889922,0.4767275444246737,0.43612048453728747,0.516084572822167,0.25949873186804345,0.15977285189841678,0.36267381983378794,0.00889068498686603,0.00033676837071461296,0.01715385824296716,0.0031656226847174562
Held-out,2820,1254,0.44468085106382976,0.8629377053454489,0.8490080983776401,0.875801274014176,0.9689563916254706,0.9374665221948782,0.9991640181035709,0.9861925129441791,0.9139644695339297,1.061850323820063,0.3926713947990544,0.3724576438140268,0.41178191489361704,0.3829787234042553
