stratum,threshold,model,biopsy_all,biopsy_none
DDI I-II,0.01,0.20096487260666365,0.20096487260666365,0.0
DDI I-II,0.02,0.19321758554167934,0.1928114529393847,0.0
DDI I-II,0.03,0.18587474996153253,0.18448992152638866,0.0
DDI I-II,0.04,0.1697761194029851,0.17599502487562188,0.0
DDI I-II,0.05,0.15815658549358472,0.16732128829536527,0.0
DDI I-II,0.06,0.14808934053138562,0.1584630041282947,0.0
DDI I-II,0.07,0.12881827422029637,0.14941421922644837,0.0
DDI I-II,0.08,0.11442786069651742,0.14016872160934457,0.0
DDI I-II,0.09,0.11153026078399213,0.1307200262424143,0.0
DDI I-II,0.1,0.0983969043670536,0.12106135986732999,0.0
DDI I-II,0.11,0.09206775113198054,0.11118564480965955,0.0
DDI I-II,0.12,0.0845771144278607,0.1010854816824966,0.0
DDI I-II,0.13,0.07634242580202436,0.09075313089723792,0.0
DDI I-II,0.14,0.06606502371861622,0.08018049288441512,0.0
DDI I-II,0.15,0.059701492537313425,0.06935908691834941,0.0
DDI I-II,0.16,0.060649135276000944,0.05828002842928212,0.0
DDI I-II,0.17,0.055325780734879815,0.046934004675418056,0.0
DDI I-II,0.18,0.05327023419487927,0.03531124863487442,0.0
DDI I-II,0.19,0.049935507646950435,0.023401510963699995,0.0
DDI I-II,0.2,0.036069651741293535,0.011194029850746245,0.0
DDI I-II,0.21,0.03400717929340639,-0.001322501416965799,0.0
DDI I-II,0.22,0.03903559127439724,-0.014159969383850002,0.0
DDI I-II,0.23,0.03605349874006591,-0.027330878077146764,0.0
DDI I-II,0.24,0.0308981408745745,-0.0408483896307934,0.0
DDI I-II,0.25,0.02985074626865672,-0.05472636815920401,0.0
DDI I-II,0.26,0.02890950652144681,-0.06897942718838246,0.0
DDI I-II,0.27,0.023103659783275388,-0.0836229809854836,0.0
DDI I-II,0.28,0.014372581536760631,-0.09867330016583759,0.0
DDI I-II,0.29,0.017938476630929852,-0.1141475719991592,0.0
DDI I-II,0.3,0.015636105188343984,-0.13006396588486147,0.0
DDI I-II,0.31,0.01499747638618501,-0.14644170452087396,0.0
DDI I-II,0.32,0.01024290313140181,-0.1633011413520633,0.0
DDI I-II,0.33,0.005643424667706239,-0.1806638449543329,0.0
DDI I-II,0.34,0.008744157997889336,-0.19855269109000462,0.0
DDI I-II,0.35,0.012246460007654038,-0.21699196326061998,0.0
DDI I-II,0.36,0.00559701492537313,-0.2360074626865672,0.0
DDI I-II,0.37,-0.003158809128958384,-0.2556266287609572,0.0
DDI I-II,0.38,0.001283903065318566,-0.27587867116032744,0.0
DDI I-II,0.39,0.0012233912405187168,-0.29679471494984105,0.0
DDI I-II,0.4,0.003316749585406297,-0.31840796019900514,0.0
DDI I-II,0.41,0.002192427692048242,-0.34075385782949646,0.0
DDI I-II,0.42,0.004632012352032942,-0.363870303654143,0.0
DDI I-II,0.43,0.0035785982368857494,-0.3877978528410579,0.0
DDI I-II,0.44,0.0024875621890547255,-0.41257995735607683,0.0
DDI I-II,0.45,-0.0036182722749886903,-0.4382632293080055,0.0
DDI I-II,0.46,-0.014741109268472453,-0.46489773355445,0.0
DDI I-II,0.47,-0.02093307049657373,-0.49253731343283585,0.0
DDI I-II,0.48,-0.013011863758132413,-0.5212399540757751,0.0
DDI I-II,0.49,-0.013949858550385327,-0.5510681884694175,0.0
DDI I-II,0.5,-0.01492537313432836,-0.5820895522388061,0.0
DDI III-VI,0.01,0.19097610006700916,0.1909264636537364,0.0
DDI III-VI,0.02,0.18307175450032592,0.18267061124203982,0.0
DDI III-VI,0.03,0.17353529724663744,0.17424453506927734,0.0
DDI III-VI,0.04,0.16717854217854217,0.16564291564291564,0.0
DDI III-VI,0.05,0.15621362989784043,0.15686020949178844,0.0
DDI III-VI,0.06,0.14872706362068067,0.1478906372523394,0.0
DDI III-VI,0.07,0.13368206916594014,0.1387281709862355,0.0
DDI III-VI,0.08,0.12616173485738702,0.1293665206708685,0.0
DDI III-VI,0.09,0.11877311877311879,0.11979911979911982,0.0
DDI III-VI,0.1,0.10756210756210757,0.11001911001911002,0.0
DDI III-VI,0.11,0.10079231427546034,0.10001932473842588,0.0
DDI III-VI,0.12,0.09347777529595712,0.08979227161045344,0.0
DDI III-VI,0.13,0.08365104916829055,0.07933011381287244,0.0
DDI III-VI,0.14,0.08456659619450317,0.06862465001999887,0.0
DDI III-VI,0.15,0.08050296285590404,0.05766729296141063,0.0
DDI III-VI,0.16,0.07534807534807535,0.04644904644904646,0.0
DDI III-VI,0.17,0.0717859151594091,0.03496048074361327,0.0
DDI III-VI,0.18,0.06436147899562536,0.023191706118535438,0.0
